,content,hit_count,last_hit,cost,id
0,1,34,1636708973.500976,15,958c6401-8193-4a8c-8a7e-675d6a8a8e70
0,7082.0,0.0,1636708973.503348,350.0,98cece9d-bfcb-44c0-bc74-f8e09ab02c94
0,1,35,1636708973.509369,15,25b49e34-8efc-43ad-bbe2-f1a49520cfeb
4,5,4,1636708973.513936,15,d1b68797-c721-40d4-aa34-3415331441b8
0,1,36,1636708973.518687,15,846da228-2f45-4e71-aac3-9558464d9020
1,2,10,1636708973.523338,15,43e3cd61-4323-47b7-9701-a2db935bf6d3
2,3,6,1636708973.527829,15,a52812e1-32b6-4b59-b8f3-ea50a6b45cac
3,4,3,1636708973.532394,15,ab31bfad-20fd-4c92-a29b-1826ecc0c226
5,6,1,1636708973.536896,15,8050d5ac-b741-4abd-98b1-c4baa3f34a47
0,1,37,1636708973.541391,15,796ec9a0-e5bc-4f36-b0f9-e361514c481e
0,1,38,1636708973.545931,15,7cab34c7-a62e-492d-8fb1-bf76fa832647
7,8,1,1636708973.550446,15,b42590c6-4e5b-4705-a224-af35100d9a70
0,163.0,0.0,1636708973.55284,350.0,734ab0e5-c31c-468b-b630-1d39f30d9ac5
0,10.0,0.0,1636708973.556829,350.0,e8956ec1-bcb5-4d74-9114-c159b01adbea
0,1,39,1636708973.562976,15,f4b579b2-c958-47a3-bb5f-1dec2f68db54
0,1,40,1636708973.567523,15,a0ffd74f-ee27-4f9c-9d28-9c9286f58846
0,1,41,1636708973.572046,15,62c1dfbe-4fd3-47c9-b761-756319554850
1,2,11,1636708973.576539,15,7508830b-f847-4b80-a628-06838b308150
0,1,42,1636708973.581035,15,74ac82ef-877d-4e26-ab68-5a99ce4395e4
0,1,43,1636708973.585539,15,b52b0688-275a-422b-a79e-1ddf2258dda2
0,1,44,1636708973.590134,15,00f9859e-aa42-4d10-8e4c-cdfc7a51b517
2,3,7,1636708973.594662,15,0438d9d6-d249-48d9-94d5-f4300ca44da8
0,1,45,1636708973.599223,15,29a202fe-bea1-43d7-8a45-5d1e78c73c21
1,2,12,1636708973.603704,15,8b13a165-bc5f-4dd6-8ab1-6d9dbcbb7ecb
0,17.0,0.0,1636708973.606068,350.0,84b662d2-1bbe-426b-b52e-9bb8103d1369
0,1,46,1636708973.612162,15,2a11336c-09ff-47cd-851e-9d3068827c0b
1,2,13,1636708973.616669,15,7cb82917-14bb-40f0-9c30-7ceea1a4ce5b
2,3,8,1636708973.621261,15,34c45417-79b7-4cb1-9937-28b7250a3ade
0,1,47,1636708973.625694,15,2f2f13d1-7ff8-4f75-8687-0c14f85e5031
0,14.0,0.0,1636708973.687713,350.0,279313d9-fcd8-4fa2-b2f4-e4280489eb64
0,1,48,1636708973.698924,15,9251fa5e-8194-443c-a0f0-ceaa0bf5e031
0,1,49,1636708973.725278,15,d51ddf45-ba24-49f2-a721-9969c095a66f
