,content,hit_count,last_hit,cost,id
0,1.0,1937.0,1636709334.396791,15.0,208b45d5-7d22-4c0f-a13e-00241ce0e20f
0,1.0,1938.0,1636709334.401712,15.0,efe5caff-27e5-4858-b6ba-730ccda80d21
8,31.0,0.0,1636709334.414441,350.0,a0a79714-7acc-4449-a508-b42ea59c00a8
0,1.0,1939.0,1636709334.434714,15.0,252ef72b-5d15-4c21-9025-c8422f800d56
0,1.0,1940.0,1636709334.439826,15.0,6329be9c-c219-4386-816b-e88464e51228
2,3.0,349.0,1636709334.444817,15.0,ce5459b4-0a9a-4131-8d4a-76230b2e8564
0,1.0,1941.0,1636709334.449767,15.0,ef8c7087-e294-48f8-a501-f4df8818df07
5,6.0,125.0,1636709334.454774,15.0,b1c1a82d-6abf-4448-9bd8-12588956b25d
8,60.0,0.0,1636709334.467357,350.0,3c399a66-b0f3-4ffd-a0e7-eddd38a83312
8,15.0,0.0,1636709334.494776,350.0,dce87d1e-c0d2-42a8-9fdb-71d162d791ef
1,2.0,630.0,1636709334.514582,15.0,70020096-53b0-4b83-a0b1-5b4d7b06553e
0,1.0,1942.0,1636709334.519024,15.0,24eed1e9-9ae7-4c77-b8be-9d052283fe48
0,1.0,1943.0,1636709334.523441,15.0,20c2c8e9-fe0b-4840-9214-c9d52692b545
0,1.0,1944.0,1636709334.527823,15.0,9a9259f2-5beb-476e-b4ff-8b8d56acf3a6
1,2.0,631.0,1636709334.532197,15.0,3e048e92-6687-46d6-b7a5-52bf48c73ebb
2,3.0,350.0,1636709334.536614,15.0,f426e4cb-f41a-486b-8f12-6c5c97991389
8,8.0,0.0,1636709334.547315,350.0,f42290e7-eb24-4809-8566-d01d2476c91b
0,1.0,1945.0,1636709334.564748,15.0,984f9393-305d-4119-b0c8-a1894b44847e
0,1.0,1946.0,1636709334.569468,15.0,74bf25b6-28a6-4738-85c2-4ae5a01cf0d9
8,8.0,0.0,1636709334.580679,350.0,517d4f4e-f9cd-471e-a5c0-1d08a53c3187
0,1.0,1947.0,1636709334.598279,15.0,9cda2907-b97c-4a7b-93e3-6998144ca02e
1,2.0,632.0,1636709334.602773,15.0,2bba2c7a-44e7-4344-b1b2-0e1979aca080
0,1.0,1948.0,1636709334.607188,15.0,430f7bed-397c-4292-8b45-70e5483eeda5
2,3.0,351.0,1636709334.611554,15.0,9c681d46-0165-4c02-bf06-a816f343f01f
0,1.0,1949.0,1636709334.616,15.0,4171ef71-3ce5-4a14-8d40-e7ce7be001e5
8,12.0,0.0,1636709334.626771,350.0,2c94acc7-c209-4196-bafc-8af7a4627f91
0,1.0,1950.0,1636709334.643997,15.0,feb2a2b0-0364-4798-a4bf-92933753833d
8,12.0,0.0,1636709334.655218,350.0,1d125114-d8f0-4ae3-85d7-09907f0cbff9
3,4.0,204.0,1636709334.672879,15.0,cd3756a4-e306-4f75-a108-918fda0be83e
1,2.0,633.0,1636709334.677281,15.0,6e358018-167e-445b-b168-21f1c832c6fa
1,2.0,634.0,1636709334.681667,15.0,b633cfd6-91b0-46b5-a833-ff22c4ee76fb
1,2.0,635.0,1636709334.686175,15.0,221dbb8d-07db-4b5d-ad62-7a663b4bd719
8,203.0,0.0,1636709334.696991,350.0,e5afb9d9-df93-4481-90b6-b922de7491c3
7,9.0,64.0,1636709334.715856,15.0,bef8f1a5-d1cc-4139-8ab6-cda69b961163
1,2.0,636.0,1636709334.723525,15.0,ee7443bc-cd4e-4d77-b7c8-4fd22a9b9f7a
0,1.0,1951.0,1636709334.727915,15.0,4f83d5e6-45b1-48da-b36d-98bc08ad9bf4
7,9.0,65.0,1636709334.732355,15.0,a8eb5145-3b14-4eec-bb53-1acca006d62b
2,3.0,352.0,1636709334.736662,15.0,a9b9b4c6-1b4e-4e05-aeb6-1574a298fe07
0,1.0,1952.0,1636709334.74116,15.0,0232d4cb-641c-4a13-8411-27bcc052e89b
3,4.0,205.0,1636709334.745474,15.0,75ad0eee-4e05-4c32-835b-a89a88c79805
0,1.0,1953.0,1636709334.749928,15.0,ab3046bb-cd34-469c-be72-5364dd520cc4
0,1.0,1954.0,1636709334.754476,15.0,cfacd541-5fc5-4be7-a9c6-eda99ad097b9
0,1.0,1955.0,1636709334.758845,15.0,e23761d6-6717-466a-8b8f-b8b40d8458e6
0,1.0,1956.0,1636709334.76326,15.0,726eef0c-c5c9-44fc-b744-c65659c9a50f
0,1.0,1957.0,1636709334.767718,15.0,3325d39f-9526-49df-8ac7-aa9dc59e64e0
1,2.0,637.0,1636709334.772136,15.0,5792c03c-cb91-4214-a78e-fd2af4ea78a5
8,22.0,0.0,1636709334.783076,350.0,470178f7-9327-4280-bd47-3e801a897df2
0,1.0,1958.0,1636709334.799954,15.0,c11cafb3-436a-47b9-a0ef-0a7c5eeeb1d3
8,22.0,0.0,1636709334.810594,350.0,c4672ca8-2391-46f0-bdcc-3f0ff6fc8c24
0,1.0,1959.0,1636709334.827255,15.0,d7019617-765a-4b1a-acc4-239f03735bf8
0,1.0,1960.0,1636709334.831606,15.0,cbae2f95-fb83-46bc-b64f-439d469a1cfe
0,1.0,1961.0,1636709334.835948,15.0,87cde3cb-cae2-487e-ae18-035bb33a3c55
3,4.0,206.0,1636709334.840209,15.0,e4d5b990-cb16-4ba6-8bee-2f87726d2e4d
2,3.0,353.0,1636709334.844551,15.0,1b883dc5-2f73-4281-baa4-e7324b258b4d
1,2.0,638.0,1636709334.848867,15.0,b75c8f07-50d8-4ac9-a37d-6edb01d37000
0,1.0,1962.0,1636709334.853243,15.0,5037f0e3-8a47-4935-906c-7ef8c0487a8f
7,9.0,66.0,1636709334.857577,15.0,4e003eed-632b-4531-9375-461e9a6f0c80
0,1.0,1963.0,1636709334.861899,15.0,c646f0d3-d402-4edf-9580-ca9f55ed4aaa
1,2.0,639.0,1636709334.86625,15.0,921035f0-946d-403b-bb97-144f3dba4922
3,4.0,207.0,1636709334.870647,15.0,f7617e75-08f9-4e4f-bac4-4c851aa978f2
0,1.0,1964.0,1636709334.875163,15.0,c54fd1d5-44fa-4acd-9fac-f65ca7055db8
1,2.0,640.0,1636709334.879563,15.0,790c6745-caef-449f-91eb-fb3da1ce34f1
8,11.0,0.0,1636709334.890485,350.0,47acd41a-b6b2-4651-bdb4-4c9e6866efe4
8,11.0,0.0,1636709334.914097,350.0,247a60d5-5687-4e01-bc4b-763c9467248f
1,2.0,641.0,1636709334.934438,15.0,f956169f-2732-4fef-a143-303040bb138e
8,11.0,1.0,1636709334.938875,15.0,18306e5e-daa3-4191-bb35-2b96be1cdba7
8,20.0,0.0,1636709334.945473,350.0,18745c67-0401-42b1-88f0-2fe73e40d9f6
0,1.0,1965.0,1636709334.962462,15.0,5b16aa8b-4c2d-4da0-831e-a3b63fd28c50
1,2.0,642.0,1636709334.966799,15.0,f62a6974-25ab-4823-82d1-0066c20e7a70
1,2.0,643.0,1636709334.971213,15.0,718fa42c-94aa-4095-8b0d-2d2e613741af
1,2.0,644.0,1636709334.975763,15.0,534523e3-49cb-4c77-91f6-87e2778407ad
2,3.0,354.0,1636709334.980175,15.0,f7b2c3ec-ba85-4443-8993-0ac32bc7debc
8,390.0,0.0,1636709334.990659,350.0,89475a87-ad17-407a-90d8-e032730f55fe
0,1.0,1966.0,1636709335.007809,15.0,043cf983-913c-45ff-b911-b01f218fcd2e
5,6.0,126.0,1636709335.012157,15.0,f83eea38-a41a-4fd3-8fa7-2c37b56e044f
0,1.0,1967.0,1636709335.016633,15.0,31534649-6faf-49b5-b013-533474fb6d74
0,1.0,1968.0,1636709335.020937,15.0,490a20be-0661-4c92-b4f9-85fd6cc7d6a2
2,3.0,355.0,1636709335.025337,15.0,2f464450-18d0-49dd-883e-b2525ec0eae2
2,3.0,356.0,1636709335.029726,15.0,d8ead91e-94c8-459e-b1e6-ce6eef01eb83
0,1.0,1969.0,1636709335.034205,15.0,38fb9295-ac88-43d3-9755-7751e6b43d3d
0,1.0,1970.0,1636709335.038673,15.0,fc118471-7233-4374-9f70-190fa7329032
0,1.0,1971.0,1636709335.043239,15.0,d76a8ebc-aa65-4cfa-8a70-d3095d6161c0
0,1.0,1972.0,1636709335.047897,15.0,bdad34c5-7458-4386-a70a-788eb859d490
8,7.0,0.0,1636709335.059242,350.0,d4c7a844-3f9a-410b-a4bf-7026ef929433
2,3.0,357.0,1636709335.077009,15.0,208b45d5-7d22-4c0f-a13e-00241ce0e20f
0,1.0,1973.0,1636709335.081449,15.0,a994af67-53e6-4f08-86da-9b89d741e835
8,7.0,0.0,1636709335.092346,350.0,b173a684-ba6f-4498-8051-a0b31c59fcc1
0,1.0,1974.0,1636709335.1098,15.0,73e03403-215c-4270-a11d-9fc702dc5ba6
0,1.0,1975.0,1636709335.114104,15.0,f1d56bab-8e04-4784-94fb-1712aab16e0f
1,2.0,645.0,1636709335.11839,15.0,b7605dbe-bd06-44c7-a77d-90fae70973b4
1,2.0,646.0,1636709335.124831,15.0,252ef72b-5d15-4c21-9025-c8422f800d56
0,1.0,1976.0,1636709335.129371,15.0,ca61088c-baff-46a9-be08-7dd8ab8f85e2
8,10.0,0.0,1636709335.14017,350.0,e24f96cf-e73d-408f-80dc-ef11d5deba0d
3,4.0,208.0,1636709335.157939,15.0,caee7134-3a89-43ec-b7aa-7b1f28e9b9b2
0,1.0,1977.0,1636709335.164266,15.0,df04c2c3-4fc7-4236-8c37-7267b0b5f739
2,3.0,358.0,1636709335.169488,15.0,e0e41eb6-7c5f-49c3-8e67-626a3d2cfe01
0,1.0,1978.0,1636709335.1741,15.0,b3b2fbb1-d413-4102-82a8-855ac23610a0
2,3.0,359.0,1636709335.17865,15.0,9f5e9144-2f75-42e4-92eb-ad18c704c95e
8,30.0,0.0,1636709335.189921,350.0,ce5459b4-0a9a-4131-8d4a-76230b2e8564
0,1.0,1979.0,1636709335.207049,15.0,3c399a66-b0f3-4ffd-a0e7-eddd38a83312
1,2.0,647.0,1636709335.211479,15.0,f426e4cb-f41a-486b-8f12-6c5c97991389
0,1.0,1980.0,1636709335.215756,15.0,69463385-34f2-49e8-a321-210f9928cc08
8,30.0,0.0,1636709335.226508,350.0,dca589e3-5fa4-4622-924b-88fee68d8039
4,5.0,156.0,1636709335.244141,15.0,75b928c1-239f-4c1d-9189-deb00a3d3429
0,1.0,1981.0,1636709335.248809,15.0,6329be9c-c219-4386-816b-e88464e51228
0,1.0,1982.0,1636709335.253332,15.0,dce87d1e-c0d2-42a8-9fdb-71d162d791ef
0,1.0,1983.0,1636709335.257759,15.0,a0a79714-7acc-4449-a508-b42ea59c00a8
0,1.0,1984.0,1636709335.262234,15.0,152e9af1-1319-4627-8cc9-eb7bf76097c0
0,1.0,1985.0,1636709335.266701,15.0,efe5caff-27e5-4858-b6ba-730ccda80d21
0,1.0,1986.0,1636709335.271536,15.0,517d4f4e-f9cd-471e-a5c0-1d08a53c3187
1,2.0,648.0,1636709335.277681,15.0,f42290e7-eb24-4809-8566-d01d2476c91b
1,2.0,649.0,1636709335.282057,15.0,ef8c7087-e294-48f8-a501-f4df8818df07
0,1.0,1987.0,1636709335.286328,15.0,3e048e92-6687-46d6-b7a5-52bf48c73ebb
0,1.0,1988.0,1636709335.290675,15.0,b1c1a82d-6abf-4448-9bd8-12588956b25d
0,1.0,1989.0,1636709335.295004,15.0,4171ef71-3ce5-4a14-8d40-e7ce7be001e5
8,144.0,0.0,1636709335.305808,350.0,70020096-53b0-4b83-a0b1-5b4d7b06553e
0,1.0,1990.0,1636709335.322781,15.0,984f9393-305d-4119-b0c8-a1894b44847e
0,1.0,1991.0,1636709335.3271,15.0,9c681d46-0165-4c02-bf06-a816f343f01f
8,38.0,0.0,1636709335.337929,350.0,430f7bed-397c-4292-8b45-70e5483eeda5
0,1.0,1992.0,1636709335.354994,15.0,feb2a2b0-0364-4798-a4bf-92933753833d
8,38.0,0.0,1636709335.365519,350.0,74bf25b6-28a6-4738-85c2-4ae5a01cf0d9
0,1.0,1993.0,1636709335.382414,15.0,20c2c8e9-fe0b-4840-9214-c9d52692b545
8,8.0,0.0,1636709335.393073,350.0,9a9259f2-5beb-476e-b4ff-8b8d56acf3a6
0,1.0,1994.0,1636709335.410362,15.0,24eed1e9-9ae7-4c77-b8be-9d052283fe48
0,1.0,1995.0,1636709335.414742,15.0,9cda2907-b97c-4a7b-93e3-6998144ca02e
0,1.0,1996.0,1636709335.41912,15.0,2bba2c7a-44e7-4344-b1b2-0e1979aca080
1,2.0,650.0,1636709335.423685,15.0,221dbb8d-07db-4b5d-ad62-7a663b4bd719
8,270.0,0.0,1636709335.436855,350.0,3325d39f-9526-49df-8ac7-aa9dc59e64e0
0,1.0,1997.0,1636709335.453891,15.0,b633cfd6-91b0-46b5-a833-ff22c4ee76fb
8,19.0,0.0,1636709335.464579,350.0,2c94acc7-c209-4196-bafc-8af7a4627f91
1,2.0,651.0,1636709335.482341,15.0,470178f7-9327-4280-bd47-3e801a897df2
4,5.0,157.0,1636709335.486706,15.0,6e358018-167e-445b-b168-21f1c832c6fa
8,7.0,0.0,1636709335.497312,350.0,cfacd541-5fc5-4be7-a9c6-eda99ad097b9
3,4.0,209.0,1636709335.514356,15.0,e5afb9d9-df93-4481-90b6-b922de7491c3
1,2.0,652.0,1636709335.518647,15.0,1d125114-d8f0-4ae3-85d7-09907f0cbff9
0,1.0,1998.0,1636709335.522973,15.0,e4d5b990-cb16-4ba6-8bee-2f87726d2e4d
8,7.0,0.0,1636709335.533506,350.0,b75c8f07-50d8-4ac9-a37d-6edb01d37000
4,5.0,158.0,1636709335.550691,15.0,ee7443bc-cd4e-4d77-b7c8-4fd22a9b9f7a
0,1.0,1999.0,1636709335.555081,15.0,cd3756a4-e306-4f75-a108-918fda0be83e
8,7.0,1.0,1636709335.559438,15.0,a8eb5145-3b14-4eec-bb53-1acca006d62b
8,7.0,2.0,1636709335.563728,15.0,a9b9b4c6-1b4e-4e05-aeb6-1574a298fe07
3,4.0,210.0,1636709335.568152,15.0,4f83d5e6-45b1-48da-b36d-98bc08ad9bf4
1,2.0,653.0,1636709335.572688,15.0,c646f0d3-d402-4edf-9580-ca9f55ed4aaa
0,1.0,2000.0,1636709335.577108,15.0,c4672ca8-2391-46f0-bdcc-3f0ff6fc8c24
1,2.0,654.0,1636709335.581445,15.0,c54fd1d5-44fa-4acd-9fac-f65ca7055db8
0,1.0,2001.0,1636709335.585808,15.0,75ad0eee-4e05-4c32-835b-a89a88c79805
0,1.0,2002.0,1636709335.590091,15.0,bef8f1a5-d1cc-4139-8ab6-cda69b961163
8,12.0,0.0,1636709335.597144,350.0,e23761d6-6717-466a-8b8f-b8b40d8458e6
8,12.0,0.0,1636709335.620388,350.0,726eef0c-c5c9-44fc-b744-c65659c9a50f
0,1.0,2003.0,1636709335.639779,15.0,5792c03c-cb91-4214-a78e-fd2af4ea78a5
7,7.0,3.0,1636709335.644239,15.0,0232d4cb-641c-4a13-8411-27bcc052e89b
3,4.0,211.0,1636709335.648683,15.0,f7617e75-08f9-4e4f-bac4-4c851aa978f2
0,1.0,2004.0,1636709335.653006,15.0,ab3046bb-cd34-469c-be72-5364dd520cc4
0,1.0,2005.0,1636709335.657378,15.0,4e003eed-632b-4531-9375-461e9a6f0c80
0,1.0,2006.0,1636709335.661712,15.0,87cde3cb-cae2-487e-ae18-035bb33a3c55
2,3.0,360.0,1636709335.666042,15.0,790c6745-caef-449f-91eb-fb3da1ce34f1
1,2.0,655.0,1636709335.670301,15.0,d7019617-765a-4b1a-acc4-239f03735bf8
0,1.0,2007.0,1636709335.674726,15.0,c11cafb3-436a-47b9-a0ef-0a7c5eeeb1d3
2,3.0,361.0,1636709335.679047,15.0,cbae2f95-fb83-46bc-b64f-439d469a1cfe
1,2.0,656.0,1636709335.683331,15.0,5037f0e3-8a47-4935-906c-7ef8c0487a8f
7,7.0,4.0,1636709335.687698,15.0,18306e5e-daa3-4191-bb35-2b96be1cdba7
2,3.0,362.0,1636709335.69213,15.0,718fa42c-94aa-4095-8b0d-2d2e613741af
8,18.0,0.0,1636709335.702848,350.0,f62a6974-25ab-4823-82d1-0066c20e7a70
1,2.0,657.0,1636709335.720239,15.0,f7b2c3ec-ba85-4443-8993-0ac32bc7debc
1,2.0,658.0,1636709335.724637,15.0,534523e3-49cb-4c77-91f6-87e2778407ad
0,1.0,2008.0,1636709335.729054,15.0,1b883dc5-2f73-4281-baa4-e7324b258b4d
0,1.0,2009.0,1636709335.733494,15.0,47acd41a-b6b2-4651-bdb4-4c9e6866efe4
0,1.0,2010.0,1636709335.737806,15.0,490a20be-0661-4c92-b4f9-85fd6cc7d6a2
1,2.0,659.0,1636709335.74209,15.0,d76a8ebc-aa65-4cfa-8a70-d3095d6161c0
1,2.0,660.0,1636709335.746396,15.0,921035f0-946d-403b-bb97-144f3dba4922
8,38.0,0.0,1636709335.756857,350.0,31534649-6faf-49b5-b013-533474fb6d74
8,38.0,0.0,1636709335.780041,350.0,5b16aa8b-4c2d-4da0-831e-a3b63fd28c50
1,2.0,661.0,1636709335.797063,15.0,89475a87-ad17-407a-90d8-e032730f55fe
8,31.0,0.0,1636709335.808095,350.0,f956169f-2732-4fef-a143-303040bb138e
1,2.0,662.0,1636709335.82518,15.0,d4c7a844-3f9a-410b-a4bf-7026ef929433
0,1.0,2011.0,1636709335.829573,15.0,247a60d5-5687-4e01-bc4b-763c9467248f
0,1.0,2012.0,1636709335.836145,15.0,18745c67-0401-42b1-88f0-2fe73e40d9f6
0,1.0,2013.0,1636709335.84059,15.0,73e03403-215c-4270-a11d-9fc702dc5ba6
7,7.0,5.0,1636709335.844911,15.0,f83eea38-a41a-4fd3-8fa7-2c37b56e044f
1,2.0,663.0,1636709335.849164,15.0,d8ead91e-94c8-459e-b1e6-ce6eef01eb83
0,1.0,2014.0,1636709335.853516,15.0,e24f96cf-e73d-408f-80dc-ef11d5deba0d
0,1.0,2015.0,1636709335.857937,15.0,043cf983-913c-45ff-b911-b01f218fcd2e
0,1.0,2016.0,1636709335.862389,15.0,252ef72b-5d15-4c21-9025-c8422f800d56
0,1.0,2017.0,1636709335.866758,15.0,b173a684-ba6f-4498-8051-a0b31c59fcc1
0,1.0,2018.0,1636709335.871224,15.0,2f464450-18d0-49dd-883e-b2525ec0eae2
0,1.0,2019.0,1636709335.875591,15.0,9f5e9144-2f75-42e4-92eb-ad18c704c95e
0,1.0,2020.0,1636709335.879951,15.0,38fb9295-ac88-43d3-9755-7751e6b43d3d
0,1.0,2021.0,1636709335.884484,15.0,ca61088c-baff-46a9-be08-7dd8ab8f85e2
0,1.0,2022.0,1636709335.889101,15.0,f1d56bab-8e04-4784-94fb-1712aab16e0f
0,1.0,2023.0,1636709335.893577,15.0,b3b2fbb1-d413-4102-82a8-855ac23610a0
0,1.0,2024.0,1636709335.898076,15.0,bdad34c5-7458-4386-a70a-788eb859d490
2,3.0,363.0,1636709335.902471,15.0,caee7134-3a89-43ec-b7aa-7b1f28e9b9b2
0,1.0,2025.0,1636709335.906772,15.0,a994af67-53e6-4f08-86da-9b89d741e835
0,1.0,2026.0,1636709335.911228,15.0,fc118471-7233-4374-9f70-190fa7329032
8,35.0,0.0,1636709335.92217,350.0,208b45d5-7d22-4c0f-a13e-00241ce0e20f
0,1.0,2027.0,1636709335.939875,15.0,6329be9c-c219-4386-816b-e88464e51228
0,1.0,2028.0,1636709335.944333,15.0,dca589e3-5fa4-4622-924b-88fee68d8039
8,28.0,0.0,1636709335.954953,350.0,a0a79714-7acc-4449-a508-b42ea59c00a8
8,28.0,0.0,1636709335.979203,350.0,e0e41eb6-7c5f-49c3-8e67-626a3d2cfe01
1,2.0,664.0,1636709335.996123,15.0,b7605dbe-bd06-44c7-a77d-90fae70973b4
0,1.0,2029.0,1636709336.00051,15.0,ce5459b4-0a9a-4131-8d4a-76230b2e8564
0,1.0,2030.0,1636709336.006914,15.0,75b928c1-239f-4c1d-9189-deb00a3d3429
2,3.0,364.0,1636709336.011402,15.0,3c399a66-b0f3-4ffd-a0e7-eddd38a83312
8,15.0,0.0,1636709336.022384,350.0,df04c2c3-4fc7-4236-8c37-7267b0b5f739
0,1.0,2031.0,1636709336.040089,15.0,4171ef71-3ce5-4a14-8d40-e7ce7be001e5
0,1.0,2032.0,1636709336.044737,15.0,517d4f4e-f9cd-471e-a5c0-1d08a53c3187
0,1.0,2033.0,1636709336.049421,15.0,feb2a2b0-0364-4798-a4bf-92933753833d
8,15.0,0.0,1636709336.060727,350.0,152e9af1-1319-4627-8cc9-eb7bf76097c0
8,8.0,0.0,1636709336.084475,350.0,b1c1a82d-6abf-4448-9bd8-12588956b25d
2,3.0,365.0,1636709336.101763,15.0,f426e4cb-f41a-486b-8f12-6c5c97991389
8,8.0,0.0,1636709336.112916,350.0,3e048e92-6687-46d6-b7a5-52bf48c73ebb
8,8.0,0.0,1636709336.136173,350.0,984f9393-305d-4119-b0c8-a1894b44847e
1,2.0,665.0,1636709336.154224,15.0,f42290e7-eb24-4809-8566-d01d2476c91b
3,4.0,212.0,1636709336.160282,15.0,69463385-34f2-49e8-a321-210f9928cc08
0,1.0,2034.0,1636709336.166714,15.0,efe5caff-27e5-4858-b6ba-730ccda80d21
0,1.0,2035.0,1636709336.171563,15.0,dce87d1e-c0d2-42a8-9fdb-71d162d791ef
0,1.0,2036.0,1636709336.176282,15.0,74bf25b6-28a6-4738-85c2-4ae5a01cf0d9
0,1.0,2037.0,1636709336.180916,15.0,9c681d46-0165-4c02-bf06-a816f343f01f
